"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,62,"CZE","Czech Republic",1,"Ústecký","Kraj","Region",NA,"Aussig an der Elbe|Aussig|Ústí nad Labem"
2,62,"CZE","Czech Republic",2,"Jihoceský","Kraj","Region",NA,"Budweis|Budejovický|Ceskobudejovický|South Bohemian"
3,62,"CZE","Czech Republic",3,"Jihomoravský","Kraj","Region",NA,"Brünn|Jihomoravský Brnenský|South Moravian"
4,62,"CZE","Czech Republic",4,"Karlovarský","Kraj","Region",NA,"Carlsbad| Karlovy Vary"
5,62,"CZE","Czech Republic",5,"Královéhradecký","Kraj","Region",NA,"Königsgrätz| Hradec Králové"
6,62,"CZE","Czech Republic",6,"Kraj Vysocina","Kraj","Region",NA,"Iglau|Jihlavský|Vysocina|Vysocina"
7,62,"CZE","Czech Republic",7,"Liberecký","Kraj","Region",NA,"Reichenberg| Liberec"
8,62,"CZE","Czech Republic",8,"Moravskoslezský","Kraj","Region",NA,"Mährisch-Ostrau|Mähren|Morava|Moravie|Mor via|Moravskoslezský|Ostravský| Moravian-Silesian"
9,62,"CZE","Czech Republic",9,"Olomoucký","Kraj","Region",NA,"Olmütz|Olomouc"
10,62,"CZE","Czech Republic",10,"Pardubický","Kraj","Region",NA,"Pardubitz|Pardubice"
11,62,"CZE","Czech Republic",11,"Plzenský","Kraj","Region",NA,"Pilsen|Plzen"
12,62,"CZE","Czech Republic",12,"Prague","Kraj","Region",NA,"Prag |Hlavní mesto Praha"
13,62,"CZE","Czech Republic",13,"Stredoceský","Kraj","Region",NA,"Central Bohemian"
14,62,"CZE","Czech Republic",14,"Zlínský","Kraj","Region",NA,"Gottwaldov|Zlín"
