"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,73,"EST","Estonia",1,"Harju","Maakond","County",NA,"Harjumaa|Harju maakond"
2,73,"EST","Estonia",2,"Hiiu","Maakond","County",NA,"Hiiumaa|Hiiu maakond|Dagö"
3,73,"EST","Estonia",3,"Ida-Viru","Maakond","County",NA,"Ida-Virumaa|Ida-Viru maakond"
4,73,"EST","Estonia",4,"Järva","Maakond","County",NA,"Jaerva|Järvamaa|Järva maakond"
5,73,"EST","Estonia",5,"Jõgeva","Maakond","County",NA,"Jogeva|Jõgevamaa|Jõgeva maakond"
6,73,"EST","Estonia",6,"Lääne-Viru","Maakond","County",NA,"Laeaene-Viru|Lääne-Virumaa|Lääne-Viru maakond"
7,73,"EST","Estonia",7,"Lääne","Maakond","County",NA,"Laeaene|Läänemaa|Lääne maakond"
8,73,"EST","Estonia",8,"Pärnu","Maakond","County",NA,"Paernu|Pärnumaa|Pärnu maakond"
9,73,"EST","Estonia",9,"Põlva","Maakond","County",NA,"Polva|Põlvamaa|Põlva maakond"
10,73,"EST","Estonia",10,"Peipsi","Water body","Water body",NA,"Peipsi järv|Pihkva järv|Lake Peipsi|<U+0427><U+0443><U+0434><U+0441><U+043A><U+043E>-<U+041F><U+0441><U+043A><U+043E><U+0432><U+0441><U+043A><U+043E><U+0435> <U+043E><U+0437><U+0435><U+0440><U+043E>"
11,73,"EST","Estonia",11,"Rapla","Maakond","County",NA,"Raplamaa|Rapla maakond"
12,73,"EST","Estonia",12,"Saare","Maakond","County",NA,"Saaremaa|Saare maakond|Ösel"
13,73,"EST","Estonia",13,"Tartu","Maakond","County",NA,"Tartumaa|Tartu maakond|Dorpat"
14,73,"EST","Estonia",14,"Võru","Maakond","County",NA,"Voru|Võrumaa|Võru maakond"
15,73,"EST","Estonia",15,"Valga","Maakond","County",NA,"Valgamaa|Valga maakond"
16,73,"EST","Estonia",16,"Viljandi","Maakond","County",NA,"Viljandimaa|Viljandi maakond|Vilyandi"
