"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,103,"HUN","Hungary",1,"Bács-Kiskun","Megye","County",NA,"Bacs-Bodrog-Kiskun"
2,103,"HUN","Hungary",2,"Békés","Megye","County",NA,NA
3,103,"HUN","Hungary",3,"Baranya","Megye","County",NA,NA
4,103,"HUN","Hungary",4,"Borsod-Abaúj-Zemplén","Megye","County",NA,NA
5,103,"HUN","Hungary",5,"Budapest","Fovaros","Capital City",NA,"Budapeste"
6,103,"HUN","Hungary",6,"Csongrád","Megye","County",NA,NA
7,103,"HUN","Hungary",7,"Fejér","Megye","County",NA,NA
8,103,"HUN","Hungary",8,"Gyor-Moson-Sopron","Megye","County",NA,"Gyor-Sopron"
9,103,"HUN","Hungary",9,"Hajdú-Bihar","Megye","County",NA,NA
10,103,"HUN","Hungary",10,"Heves","Megye","County",NA,NA
11,103,"HUN","Hungary",11,"Jász-Nagykun-Szolnok","Megye","County",NA,NA
12,103,"HUN","Hungary",12,"Komárom-Esztergom","Megye","County",NA,"Komarom"
13,103,"HUN","Hungary",13,"Nógrád","Megye","County",NA,NA
14,103,"HUN","Hungary",14,"Pest","Megye","County",NA,NA
15,103,"HUN","Hungary",15,"Somogy","Megye","County",NA,NA
16,103,"HUN","Hungary",16,"Szabolcs-Szatmár-Bereg","Megye","County",NA,"Szabolcs-Szatmár"
17,103,"HUN","Hungary",17,"Tolna","Megye","County",NA,NA
18,103,"HUN","Hungary",18,"Vas","Megye","County",NA,NA
19,103,"HUN","Hungary",19,"Veszprém","Megye","County",NA,NA
20,103,"HUN","Hungary",20,"Zala","Megye","County",NA,NA
