"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,130,"LTU","Lithuania",1,"Šiauliai","Apskritis","County",NA,"Šiauliai|Schaulen|Shavli"
2,130,"LTU","Lithuania",2,"Alytaus","Apskritis","County",NA,"Alytus|Olita|Alitus"
3,130,"LTU","Lithuania",3,"Kauno","Apskritis","County",NA,"Kaunas|Kowno|Kovno"
4,130,"LTU","Lithuania",4,"Klaipedos","Apskritis","County",NA,"Klaipeda|Memel"
5,130,"LTU","Lithuania",5,"Marijampoles","Apskritis","County",NA,"Marijampole|Mariampol"
6,130,"LTU","Lithuania",6,"Panevezio","Apskritis","County",NA,"Panevežys|Ponewiesch|Ponewjesh|Poneviezli"
7,130,"LTU","Lithuania",7,"Taurages","Apskritis","County",NA,"Taurage|Tauroggen"
8,130,"LTU","Lithuania",8,"Telšiai","Apskritis","County",NA,"Telšiai|Telsche|Telschi|Telshe"
9,130,"LTU","Lithuania",9,"Utenos","Apskritis","County",NA,"Utena"
10,130,"LTU","Lithuania",10,"Vilniaus","Apskritis","County",NA,"Vilnius|Wilna|Vilna|Vilnious"
