"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,150,"MNE","Montenegro",1,"Šavnik","Opština","Municipality",NA,NA
2,150,"MNE","Montenegro",2,"Žabljak","Opština","Municipality",NA,NA
3,150,"MNE","Montenegro",3,"Andrijevica","Opština","Municipality",NA,NA
4,150,"MNE","Montenegro",4,"Bar","Opština","Municipality",NA,NA
5,150,"MNE","Montenegro",5,"Berane","Opština","Municipality",NA,NA
6,150,"MNE","Montenegro",6,"Bijelo Polje","Opština","Municipality",NA,NA
7,150,"MNE","Montenegro",7,"Budva","Opština","Municipality",NA,NA
8,150,"MNE","Montenegro",8,"Cetinje","Opština","Municipality",NA,NA
9,150,"MNE","Montenegro",9,"Danilovgrad","Opština","Municipality",NA,NA
10,150,"MNE","Montenegro",10,"Herceg Novi","Opština","Municipality",NA,NA
11,150,"MNE","Montenegro",11,"Kolašin","Opština","Municipality",NA,NA
12,150,"MNE","Montenegro",12,"Kotor","Opština","Municipality",NA,NA
13,150,"MNE","Montenegro",13,"Mojkovac","Opština","Municipality",NA,NA
14,150,"MNE","Montenegro",14,"Nikšic","Opština","Municipality",NA,NA
15,150,"MNE","Montenegro",15,"Plav","Opština","Municipality",NA,NA
16,150,"MNE","Montenegro",16,"Pljevlja","Opština","Municipality",NA,NA
17,150,"MNE","Montenegro",17,"Plužine","Opština","Municipality",NA,NA
18,150,"MNE","Montenegro",18,"Podgorica","Opština","Municipality",NA,NA
19,150,"MNE","Montenegro",19,"Rožaje","Opština","Municipality",NA,NA
20,150,"MNE","Montenegro",20,"Tivat","Opština","Municipality",NA,NA
21,150,"MNE","Montenegro",21,"Ulcinj","Opština","Municipality",NA,NA
