"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,187,"ROU","Romania",1,"Alba","Judet","County",NA,NA
2,187,"ROU","Romania",2,"Arad","Judet","County",NA,NA
3,187,"ROU","Romania",3,"Arge<U+0219>","Judet","County",NA,"Arges"
4,187,"ROU","Romania",4,"Bacau","Judet","County",NA,"Bacau"
5,187,"ROU","Romania",5,"Bihor","Judet","County",NA,NA
6,187,"ROU","Romania",6,"Bistri<U+021B>a-Nasaud","Judet","County",NA,"Bistrita-nasaud"
7,187,"ROU","Romania",7,"Boto<U+0219>ani","Judet","County",NA,"Botosani"
8,187,"ROU","Romania",8,"Bra<U+0219>ov","Judet","County",NA,"Brasov"
9,187,"ROU","Romania",9,"Braila","Judet","County",NA,"Braila"
10,187,"ROU","Romania",10,"Bucharest","Municipiu","Municipality",NA,"Bucuresti"
11,187,"ROU","Romania",11,"Buzau","Judet","County",NA,"Buzau"
12,187,"ROU","Romania",12,"Calara<U+0219>i","Judet","County",NA,"Calarasi"
13,187,"ROU","Romania",13,"Cara<U+0219>-Severin","Judet","County",NA,"Caras-severin"
14,187,"ROU","Romania",14,"Cluj","Judet","County",NA,NA
15,187,"ROU","Romania",15,"Constan<U+021B>a","Judet","County",NA,"Constanta"
16,187,"ROU","Romania",16,"Covasna","Judet","County",NA,NA
17,187,"ROU","Romania",17,"Dâmbovi<U+021B>a","Judet","County",NA,"Dambovita"
18,187,"ROU","Romania",18,"Dolj","Judet","County",NA,NA
19,187,"ROU","Romania",19,"Gala<U+021B>i","Judet","County",NA,"Galati"
20,187,"ROU","Romania",20,"Giurgiu","Judet","County",NA,NA
21,187,"ROU","Romania",21,"Gorj","Judet","County",NA,NA
22,187,"ROU","Romania",22,"Harghita","Judet","County",NA,NA
23,187,"ROU","Romania",23,"Hunedoara","Judet","County",NA,NA
24,187,"ROU","Romania",24,"Ia<U+0219>i","Judet","County",NA,"Iasi"
25,187,"ROU","Romania",25,"Ialomi<U+021B>a","Judet","County",NA,"Ialomita"
26,187,"ROU","Romania",26,"Ilfov","Judet","County",NA,NA
27,187,"ROU","Romania",27,"Maramure<U+0219>","Judet","County",NA,"Maramures"
28,187,"ROU","Romania",28,"Mehedin<U+021B>i","Judet","County",NA,"Mehedinti"
29,187,"ROU","Romania",29,"Mure<U+0219>","Judet","County",NA,"Mures"
30,187,"ROU","Romania",30,"Neam<U+021B>","Judet","County",NA,"Neamt"
31,187,"ROU","Romania",31,"Olt","Judet","County",NA,NA
32,187,"ROU","Romania",32,"Prahova","Judet","County",NA,NA
33,187,"ROU","Romania",33,"Salaj","Judet","County",NA,"Salaj"
34,187,"ROU","Romania",34,"Satu Mare","Judet","County",NA,NA
35,187,"ROU","Romania",35,"Sibiu","Judet","County",NA,NA
36,187,"ROU","Romania",36,"Suceava","Judet","County",NA,NA
37,187,"ROU","Romania",37,"Teleorman","Judet","County",NA,NA
38,187,"ROU","Romania",38,"Timi<U+0219>","Judet","County",NA,"Timis"
39,187,"ROU","Romania",39,"Tulcea","Judet","County",NA,NA
40,187,"ROU","Romania",40,"Vâlcea","Judet","County",NA,"Valcea"
41,187,"ROU","Romania",41,"Vaslui","Judet","County",NA,NA
42,187,"ROU","Romania",42,"Vrancea","Judet","County",NA,NA
